Kode Produk,Nama Produk,Unassigned,GUDANG KEBUN,GUDANG PROCESSING,GUDANG BARANG JADI,GUDANG BAHAN BAKU,GUDANG BINTARO,GUDANG BINTARO PROCESSING,GUDANG BARANG SETENGAH JADI,GUDANG BARANG AFKIR,Kuantitas Total,Satuan Produk
KFRMFC20,Kin Fresh Milk Full Cream 200ml,-24,0,0,23,0,0,0,0,0,-1,200 ml
KYBLU200,Kin Yogurt Blueberry 200ml,-2,0,0,12,0,0,0,0,0,10,200 ml
KYLYC200,Kin Yogurt Lychee 200ml,-2,0,0,26,0,0,0,0,0,24,200 ml
KYORA200,Kin Yogurt Orange 200ml,0,0,0,39,0,0,0,0,0,39,200 ml
KYORI200,Kin Yogurt Original 200ml,0,0,0,29,0,0,0,0,0,29,200 ml
KYSTR200,Kin Yogurt Strawberry 200ml,-6,0,0,16,0,0,0,0,0,10,200 ml
VKLWGR10,Kluwek,0,0,0,0.1,0,0,0,0,0,0.1,KG
VKOLL1KG,Kol,-5,0,0,8,0,0,0,0,0,3,KG
VKOLM1KG,Kol Merah,-0.25,0,0,6.5,0,0,0,0,0,6.25,KG
VKOPI1KG,Kopi,0,0,0,0,0,0,0,0,0,0,KG
VKUCGR10,Kucai,-0.4,0,0.04,1.06,0,0,0,0,0.05,0.75,KG
VKUNY1KG,Kunyit,0,0,0,7.19,0,0,0,0,0,7.19,KG
VKUNBU10,Kunyit Bubuk,-0.1,0,0,0.8,0,0,0,0,0,0.7,KG
VKYUR1KG,Kyuri,-0.75,0,0,3.4,0,0,0,0,0,2.65,KG
VLAPA1KG,Labu Panjang,0,0,0,0,0,0,0,0,0,0,KG
VLASB1KG,Labu Siam Besar,-3.75,0,0,4,0,0,0,0,2.9,3.15,KG
VLASK1KG,Labu Siam Kecil,-1,0,0,2.728,0,0,0,0,0.4,2.128,KG
VLADH50G,Lada Hitam,0,0,0,0.748,0,0,0,0,0,0.748,KG
VLAPAPA5,Lada Paper,0,0,0,0.9,0,0,0,0,0,0.9,KG
VLENG1KG,Lengkuas,-0.2,0,0,3.8,0,0,0,0,0,3.6,KG
VLOBA1KG,Lobak,-1,0,0,35.6,0,0,0,0,0,34.6,KG
VLOLO1KG,Lolorosa,-0.25,0,0,5.6,0,0,0,0,0,5.35,KG
PE128,Lysol,0,0,0,0,25,0,0,0,0,25,Ltr
FMAIR1KG,Mangga Irwin,0,0,0,0,0,0,0,0,0,0,KG
MEMSBL50,Marguez Sausage Beef Lamb,0,0,0,0,0,12,0,0,0,12,KG
VMELGR10,Melinjo,-0.3,0,0,1.59,0,0,0,0,0.06,1.35,KG
VMINT1KG,Mint,0,0,0,0.27,0,0,0,0,0,0.27,KG
MCH1B1KG,Mushroom Champignon,5,0,-566.9,1076.25,0,0,0,0,0,514.35,KG
MCH2B1KG,Mushroom Champignon 2,0,0,-53.2,21.6,0,0,0,0,16.6,-15,KG
MCN1B1KG,Mushroom Chestnut Swiss Brown,-0.6,0,-92.9,132.05,0,0,0,0,0,38.55,KG
MCNB1KG,Mushroom Chestnut Swiss Brown 2,0,0,0,-20.8,0,0,0,0,20.8,0,KG
MPO1B1KG,Mushroom Portabello,-0.6,0,-28.05,68.55,0,0,0,0,0,39.9,KG
MPO2B1KG,Mushroom Portabello 2,0,0,0,-0.8,0,0,0,0,0.8,0,KG
VNABA1KG,Nai Bai,-2.75,0,0,2.95,0,0,0,0,0.1,0.3,KG
FNAMPPCS,Nanas Madu Pemalang,-12,0,0,12,0,0,0,0,0,0,PACK
VOKRA1KG,Okra,-0.5,0,0,26.35,0,0,0,0,0,25.85,KG
VOYOPA25,Oyong,-0.75,0,0,3.6,0,0,0,0,0.5,3.35,KG
VPACH1KG,Pak Choy,-6,0,0,1.2,0,0,0,0,1.8,-3,KG
VPAHI1KG,Paprika Hijau,-0.2,0,0,1.8,0,0,0,0,0.4,2,KG
VPAKU1KG,Paprika Kuning,-0.2,0,0,1.45,0,0,0,0,0,1.25,KG
VPAME1KG,Paprika Merah,0,0,0,3.06,0,0,0,0,0,3.06,KG
VPARI1KG,Paria,-2.5,0,0,5.94,0,0,0,0,1,4.44,KG
VPARS1KG,Parsley,-0.1,0,0,0.6,0,0,0,0,0,0.5,KG
FPESI1KG,Pear Sinkro,0,0,0,0,0,0,0,0,0,0,KG
FPECAPCS,Pepaya California,-19,0,1,22,0,0,0,0,1,5,Pcs
PE132,Pest Neem,0,0,0,0,14,0,0,0,0,14,Ltr
VPETPA25,Petai,0,0,0,0.24,0,0,0,0,0.25,0.49,KG
PE134,PK,0,0,0,0,5000,0,0,0,0,5000,KG
PC116,Plastik Casing,216.25,0,0,0,216.25,0,0,0,0,432.5,KG
PC115,Plastik Spawning,192.95,0,0,0,192.95,0,0,0,0,385.9,KG
VPOLE1KG,Poleng,-3.5,0,0,0.2,0,0,0,0,0,-3.3,KG
PE135,Pounce,0,0,0,0,2000,0,0,0,0,2000,ml
MERWPB15,Rambutan Wood  Pork Bacon,0,0,0,0,0,3.15,0,0,0,3.15,KG
